STATISTIC,Statistic Label,TLIST(A1),CensusYear,C02199V02655,Sex,Column1,Single Year of Age,UNIT,VALUE,AgeNum,Band
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,200,Under 1 year,Number,572,0,0-3
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,1,1 year,Number,772,1,0-3
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,2,2 years,Number,1383,2,0-3
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,3,3 years,Number,2185,3,0-3
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,4,4 years,Number,2767,4,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,5,5 years,Number,3262,5,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,6,6 years,Number,3989,6,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,7,7 years,Number,4372,7,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,8,8 years,Number,4866,8,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,9,9 years,Number,5428,9,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,10,10 years,Number,5675,10,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,11,11 years,Number,5843,11,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,12,12 years,Number,6045,12,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,13,13 years,Number,6065,13,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,14,14 years,Number,5831,14,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,15,15 years,Number,5664,15,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,16,16 years,Number,5321,16,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,17,17 years,Number,5586,17,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,18,18 years,Number,5840,18,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,19,19 years,Number,5784,19,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,20,20 years,Number,5607,20,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,21,21 years,Number,5389,21,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,22,22 years,Number,5427,22,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,23,23 years,Number,5382,23,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,24,24 years,Number,5160,24,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,25,25 years,Number,5019,25,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,26,26 years,Number,4961,26,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,27,27 years,Number,4917,27,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,28,28 years,Number,4714,28,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,29,29 years,Number,4837,29,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,30,30 years,Number,4916,30,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,31,31 years,Number,4959,31,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,32,32 years,Number,4803,32,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,33,33 years,Number,4582,33,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,34,34 years,Number,4834,34,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,35,35 years,Number,4985,35,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,36,36 years,Number,5118,36,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,37,37 years,Number,5098,37,4-64
F4006C01,Persons with a disability to any extent,2022,2022,1,Male,38,38 years,Number,5397,38,4-64
